id,username,comment,num_of_likes,published_at
9YFbtgNsSeA,@SangKomaru,"Penjara maximal 20 tahun, 
Bekerja sebagai ASN selama 20 tahUN gak bakal dpt 100T 

Makanya pejabat lebih mending korupsi dibandingkan mengabdi ke negara,",0,2025-02-26T01:22:36Z
9YFbtgNsSeA,@kudalumping5747,saya benci pejabat,0,2025-02-26T01:23:04Z
9YFbtgNsSeA,@RizsQ09,Luar Biasa...,0,2025-02-26T01:23:06Z
9YFbtgNsSeA,@novalpandolo,"Gak usah diberitain gak ada manfaatnya buat rakyat, ntar kluar penjara jdi Mentri. Kalian jadi apa?",0,2025-02-26T01:23:07Z
9YFbtgNsSeA,@AdiSofan123,"Bisa gak sih, negara ini tegas menghukum mati para koruptor, kasian Rakyat menderita krn ulah mereka",0,2025-02-26T01:23:20Z
9YFbtgNsSeA,@pakgurungaji7592,Kayaknya mereka sebelum jualan bensin eceran dipinggir jalan trus  jadi. Direktur Pertamina,0,2025-02-26T01:23:31Z
9YFbtgNsSeA,@sopani8591,Bisa gak tembak mati. Pejabaat Yg korupsi,0,2025-02-26T01:23:42Z
9YFbtgNsSeA,@nilapky1810,WAHH WAHH KALAU NEGARA MAU MAJU.... KORUPSII HARUSNYAA DI HUKUM MATII,0,2025-02-26T01:24:01Z
9YFbtgNsSeA,@kuzantaisho4050,"Kompensasi ke masyarakat donk pak, gratis bensin selama sebulan!!!!!",0,2025-02-26T01:24:47Z
9YFbtgNsSeA,@pudyastuti5362,"Hukum berat pelaku. Aplgi mreka justru pejabat2 tinggi pertamina.
Mk jngan salahkn yg dibawah..cm ngoplos gas...mncurangi angka di meteran pom bensin.
Smg anak cucu mreka muntah2 trs krn kebnyakan minum pertalite.",0,2025-02-26T01:24:57Z
9YFbtgNsSeA,@djchannel564,"enak ny curi uang....muka kaga bonyok , baju dipakaikan , dipenjara gak lama 😂",0,2025-02-26T01:25:01Z
9YFbtgNsSeA,@frekuensiofficial3644,Semua lini tanpa terkecuali harus diperiksa sudah rusak negara ini,0,2025-02-26T01:25:20Z
9YFbtgNsSeA,@eyibudi9238,konoha surga para koruptor,0,2025-02-26T01:16:14Z
9YFbtgNsSeA,@OgieSugiarto,"Ga bakalan ada kemajuan negeri ini karena hukum nya lemah,, buat koruptor",0,2025-02-26T01:16:37Z
9YFbtgNsSeA,@rizalmaulana4207,Indonesia gelap,0,2025-02-26T01:17:08Z
9YFbtgNsSeA,@aden2293,jd yg 271T ud beres scr hukum?,0,2025-02-26T01:17:19Z
9YFbtgNsSeA,@OgieSugiarto,"Ga bakalan ada kemajuan negeri ini karena hukum nya lemah,, buat koruptor",0,2025-02-26T01:18:01Z
9YFbtgNsSeA,@Bakrun-AK47,"Saya yakin indonesia tdk bisa bersaing sama negara lain,tpi klu mslh korupsi indonesia juara 1",0,2025-02-26T01:18:18Z
9YFbtgNsSeA,@ardiwijaya820,"Bisa gak kalau sudah tertangkap jangan pakai penutup muka atau masker, biar rakyat tau tampang para penghianat rakyat",0,2025-02-26T01:18:32Z
9YFbtgNsSeA,@yotoktt,"Banyak macam cara korupsi pejabat negara,ada  yg , titipan ,ada yg buat setempel palsu,ada yg beli nota kosong,dllnya macam cara buat cara licik mereka buat supaya dpt uang samping",0,2025-02-26T01:19:09Z
9YFbtgNsSeA,@IamNoOne321,"bukan rahasia umum wkwk 
1 BUMN 6 tahun korupsinya hampir 200 triliun itupun dari 1 sektor dan ini real money bukan kayak 300 T yang 90%nya akibat kerusakan lingkungan",0,2025-02-26T01:19:48Z
9YFbtgNsSeA,@zakimzakim1107,"Gaji nt kurang gde tah, pantesan mesin kndaraan pada macet",0,2025-02-26T01:19:53Z
9YFbtgNsSeA,@dzywrygh189,"Ngerii klo kek gini terus. Bisa jadi ntar ada revolusi antara rakyat ma pemerintahan. Kyk revolusi perancis. Ketika rakyat perancis wkt itu miskin tapi raja dan keluarganya hidup mewah. Presiden harus segera bertindak, benahi hukum di Indonesia, contohnya penerapan hukuman mati/tembak/gantung BAGI PARA KORUPTUR.",0,2025-02-26T01:20:10Z
9YFbtgNsSeA,@RisbayaEep,"Hukum mati,kita antri beli bensin Berjam jam karna aturan baru,mereka enak enak makan uang  korupsi,hukum mati",0,2025-02-26T01:20:33Z
9YFbtgNsSeA,@JunitaPManurung,Miskinkan dan hukum seumur hidup di lobang buaya,0,2025-02-26T01:20:45Z
9YFbtgNsSeA,@rockjawchannel9585,HUKUMAN MATI LAH BIAR EFEK JERA BAGI YANG LAIN AGAR TAKUT BERBUAT KORUPSI. DAN JANGAN² PENGOPLOSAN ELPIJI YG DI SINGGUNG² MENTERI ESDM JUGA ULAH ORANG² DALAM PERTAMINA JUGA TUH...,0,2025-02-26T01:20:51Z
9YFbtgNsSeA,@Justice.999,TANGKAP SEMUA KORUPTOR SAMPAI AKARNYA SECEPATNYA TANGKAP OTAK DALANG PARA KORUPTOR2 SAMPAI AKARNYA SIAPAPUN ORANG NYA.,0,2025-02-26T01:21:01Z
9YFbtgNsSeA,@agniaazzahra7347,BAKARRRR,0,2025-02-26T01:21:07Z
9YFbtgNsSeA,@sukrisukri4697,Mayoritas pejabat..berhati iblis.pada korupsi..pintar kok kurupsi .gak punya aklak.bahkan aklaknya lebih jelek dari binatang,0,2025-02-26T01:10:00Z
9YFbtgNsSeA,@areksuroboyo2128,"Gini masih percaya sama danatara? Ini baru 1bumn, apa jdnya klo 1holding. Ckckck...",0,2025-02-26T01:10:08Z
9YFbtgNsSeA,@pandu03-p4l,Bukan rugikan negara.... Tapi rakyat Indonesia. Kita bela2in beli pertamax ehhhh... Dikasihnya pertalite. 😂,0,2025-02-26T01:10:13Z
9YFbtgNsSeA,@bismillahalhamdulillah4432,Makin kesini Semakin Parah yg Maling nominal nya makin besar Triliunan,0,2025-02-26T01:10:28Z
9YFbtgNsSeA,@sofanarosid4501,Ah males ...hukum mati saja..,0,2025-02-26T01:12:37Z
9YFbtgNsSeA,@husnifajrulalam8954,"Mengapa koruptor makin merajalela? karena mereka dilindungi HAM dan hukum. Kesannya makin banyak duit dan kekuasaan, makin kebal dengan hukum.
Dalam bayangan saya : (dihukum ringan, di penjara dapat fasilitas mewah, ada hari libur, berangkat pagi-pulang sore, belum lagi ada remisi yang nggak ngotak, selesai dipenjara, pulang harta benda masih ada)",0,2025-02-26T01:12:48Z
9YFbtgNsSeA,@anburuy9672,Luar biasa jahat nya,0,2025-02-26T01:13:05Z
9YFbtgNsSeA,@syaifulbahri4347,keluarga  keturunan maling uang rakyat,0,2025-02-26T01:13:09Z
9YFbtgNsSeA,@linggamulyatno,LEMBUT2 AMAT SAMA KORUPTOR,0,2025-02-26T01:13:43Z
9YFbtgNsSeA,@yotoktt,Hukuman mati saja buat para korupsinya pk presiden Prabowo,0,2025-02-26T01:14:36Z
9YFbtgNsSeA,@yantobreges2214,"Hukum mati aja lah, 197 Triliun",0,2025-02-26T01:14:42Z
